Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PEB,Pebblebrook Hotel Trust,20.78,$2.72B,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/peb
BJ,"BJ&#39;s Wholesale Club Holdings, Inc.",19.72,$2.71B,2018,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/bj
SJI,"South Jersey Industries, Inc.",29.31,$2.71B,n/a,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/sji
ESI,Element Solutions Inc.,10.35,$2.6B,2014,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/esi
PFSI,"PennyMac Financial Services, Inc.",34.11,$2.68B,2013,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/pfsi
TARO,Taro Pharmaceutical Industries Ltd.,69.91,$2.67B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/taro
GKOS,Glaukos Corporation,61.47,$2.66B,2015,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/gkos
VSH,"Vishay Intertechnology, Inc.",18.38,$2.66B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/vsh
NSP,"Insperity, Inc.",66.79,$2.63B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/nsp
BRC,Brady Corporation,49.09,$2.62B,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/brc
GHC,Graham Holdings Company,492.33,$2.62B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ghc
SAFE,Safehold Inc.,54.79,$2.62B,2017,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/safe
AA,Alcoa Corporation,13.46,$2.5B,2016,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
USM,United States Cellular Corporation,29.91,$2.58B,1988,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/usm
ARI,Apollo Commercial Real Estate Finance,16.69,$2.57B,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ari
CLDR,"Cloudera, Inc.",8.91,$2.56B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cldr
FG,FGL Holdings,11.55,$2.56B,2017,Finance,Life Insurance,https://old.nasdaq.com/symbol/fg
MDC,"M.D.C. Holdings, Inc.",40.51,$2.55B,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/mdc
MCY,Mercury General Corporation,46.01,$2.55B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/mcy
VMI,"Valmont Industries, Inc.",118.27,$2.55B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/vmi
YETI,"YETI Holdings, Inc.",29.44,$2.55B,2018,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/yeti
FUN,"Cedar Fair, L.P.",44.74,$2.54B,1987,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/fun
SHO,"Sunstone Hotel Investors, Inc.",11.26,$2.53B,2004,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/sho
GATX,GATX Corporation,72.11,$2.52B,n/a,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/gatx
AAT,"American Assets Trust, Inc.",41.82,$2.51B,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat
KAR,"KAR Auction Services, Inc",19.5,$2.51B,2009,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/kar
PAGP,"Plains Group Holdings, L.P.",13.78,$2.51B,2013,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/pagp
CWT,California Water  Service Group Holding,49.92,$2.4B,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/cwt
MTH,Meritage Corporation,65.4,$2.49B,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/mth
TRTN,Triton International Limited,34.57,$2.49B,2016,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/trtn
LCII,LCI Industries ,98.9,$2.48B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/lcii
AQUA,Evoqua Water Technologies Corp.,21.25,$2.46B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aqua
BDN,Brandywine Realty Trust,13.88,$2.45B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/bdn
TRN,"Trinity Industries, Inc.",20.47,$2.45B,n/a,Capital Goods,Railroads,https://old.nasdaq.com/symbol/trn
AEL,American Equity Investment Life Holding Company,26.8,$2.44B,2003,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael
PRLB,"Proto Labs, Inc.",91.19,$2.44B,2012,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/prlb
OLN,Olin Corporation,15.42,$2.43B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/oln
CNO,"CNO Financial Group, Inc.",16.53,$2.42B,n/a,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/cno
NS,Nustar Energy L.P.,22.35,$2.42B,n/a,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/ns
APAM,Artisan Partners Asset Management Inc.,29.21,$2.3B,2013,Finance,Investment Managers,https://old.nasdaq.com/symbol/apam
IGT,International Game Technology,11.24,$2.3B,2015,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/igt
KMT,Kennametal Inc.,27.73,$2.3B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/kmt
AYR,Aircastle Limited,31.85,$2.39B,2006,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/ayr
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,40.82,$2.38B,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/bhvn
HGV,Hilton Grand Vacations Inc.,27.79,$2.38B,2016,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/hgv
SPB           ,"Spectrum Brands Holdings, Inc.",51.83,$2.38B,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/spb
AIT,"Applied Industrial Technologies, Inc.",61.27,$2.37B,n/a,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/ait
ESE,ESCO Technologies Inc.,91.23,$2.37B,n/a,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/ese
ABM,ABM Industries Incorporated,35.31,$2.36B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
AGI,Alamos Gold Inc.,6,$2.35B,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi
RLJ,RLJ Lodging Trust,13.75,$2.34B,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rlj
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",35.19,$2.33B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hasi
